name: AOE II: The Conquerors Europe 1v1 Room v1.0C id:65543   sid:6   server:203.117.124.16  gid:1021  game:AOE II        ml:1  
name: Europe Game Room 05                       id:262243  sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: Europe Game Room 06                       id:262244  sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: AOE II: The Conquerors India Room         id:262245  sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: Thailand DotA Room 09                     id:262246  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 08                     id:262247  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: CS Source Thailand Room                   id:262248  sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: SCBW Thailand Room                        id:262249  sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: CS 1.6 Taiwan Room 1                      id:262250  sid:6   server:203.117.124.16  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Malaysia Room                      id:262251  sid:6   server:203.117.124.16  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Canada Room                        id:262252  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 USA Room                           id:262253  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Philippines Room                   id:262254  sid:3   server:203.117.124.12  gid:1003  game:CS 1.6        ml:1  
name: KODE5 CS Tournament Room                  id:262255  sid:3   server:203.117.124.12  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Indian High Level Room             id:262256  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:5  
name: CS 1.6 International Room 01              id:262257  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 International Room 02              id:262258  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 International Room 03              id:262259  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Mongolia Room                      id:262260  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Australia Room                     id:262261  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 NewZealand Room                    id:262262  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Thailand DotA Room 07                     id:262263  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 06                     id:262264  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: CS 1.6 Thailand Room                      id:262265  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Korea Room                         id:262266  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Thailand DotA Room 05                     id:262267  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: CS 1.6 Europe 1v1 Arena Room              id:262268  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Europe Clan War Room               id:262269  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Europe Public Room                 id:262270  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Germany Public Room                id:262271  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Romania Room                       id:262272  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Russia Room                        id:262273  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Sweden Public Room                 id:262275  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Thailand DotA Room 03                     id:262276  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Thailand DotA Room 01                     id:262277  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 04                     id:262278  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 02                     id:262279  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: New Zealand DotA Room 01                  id:262280  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Canada DotA Room 02                       id:262281  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Canada DotA Room 01                       id:262283  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Canada DotA Room 05                       id:262287  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Indonesia DotA Room 01                    id:262290  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Ecuador DotA Room 06                      id:262296  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Macedonia DotA Room 01                    id:262297  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan Room 08                            id:262298  sid:6   server:203.117.124.16  gid:1036  game:Left 4 Dead 2 ml:1  
name: Taiwan Room 07                            id:262299  sid:6   server:203.117.124.16  gid:1036  game:Left 4 Dead 2 ml:1  
name: Pakistan DotA Room 03 [Moderated]         id:262300  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan Room 06                            id:262301  sid:6   server:203.117.124.16  gid:1036  game:Left 4 Dead 2 ml:1  
name: Taiwan Room 05                            id:262302  sid:6   server:203.117.124.16  gid:1036  game:Left 4 Dead 2 ml:1  
name: Belarus DotA Room 01 (1.26a)              id:262306  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:5  
name: Genesis Dota Room                         id:262308  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:8  
name: Croatia DotA Room 02                      id:262314  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Croatia DotA Room 01                      id:262315  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: PLU room                                  id:262316  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Greece DotA Room 01                       id:262317  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Egypt DotA High Level Room                id:262318  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:10 
name: NeoTV Race War                            id:262319  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Thailand Room                             id:262320  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Thailand Room 02                          id:262321  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Thailand Room                             id:262322  sid:6   server:203.117.124.16  gid:1019  game:unknown       ml:1  
name: 1.7 Thailand Room                         id:262325  sid:6   server:203.117.124.16  gid:1018  game:COD4          ml:1  
name: Tower Defense Room 03                     id:262326  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 16                     id:262327  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 17                     id:262328  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Tower Defense Room 02                     id:262329  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Tower Defense Room 01                     id:262330  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 18                     id:262332  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 19                     id:262333  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 20                     id:262334  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 21                     id:262335  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 22                     id:262337  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 23                     id:262339  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 24                     id:262341  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand DotA Room 25                     id:262348  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Thailand Room 02                          id:262350  sid:6   server:203.117.124.16  gid:1000  game:WC3/TFT       ml:1  
name: War 3 Custom Map : Tower Defense ROOM 1 (v1.24e) id:262368  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Tower Defense ROOM 2 (v1.24e) id:262369  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Vampire ROOM 1 (v1.24e) id:262371  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 34 (v1.24e)            id:262387  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 33 (v1.24e)            id:262388  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Arabian DotA Room 01                      id:262389  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:10 
name: Malaysia DotA ROOM 32 (v1.24e)            id:262390  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 31 (v1.24e)            id:262391  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 30 (v1.24e)            id:262392  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: India DotA Room 06                        id:262395  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 29 (v1.24e)            id:262396  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 28 (v1.24e)            id:262397  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 27 (v1.24e)            id:262398  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 26 (v1.24e)            id:262399  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Korea DotA Room 01                        id:262402  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Colombia DotA Room 01 [Moderada]          id:262403  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Hero Defense ROOM 2 (v1.24e) id:262405  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Hero Defense ROOM 1 (v1.24e) id:262406  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: DotA Room 02 (MyGarena.com)               id:262517  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: DotA Room 01 (MyGarena.com)               id:262519  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: USA DotA Room 08                          id:262542  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:10 
name: USA DotA Room 06                          id:262546  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Turkey DotA League Room                   id:262558  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Australia DotA Room 03                    id:262578  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:2  
name: Peru DotA Room 05 (1.24b)                 id:262580  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: DBZ Tribute Room                          id:262583  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Element TD Room                           id:262586  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Peru DotA Room 06 (1.24b)                 id:262589  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Czech and Slovakia DotA Room 05           id:262599  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Europe RPG Room 11 (Element TD)           id:262600  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Russia Room 03                            id:262601  sid:3   server:203.117.124.12  gid:1000  game:WC3/TFT       ml:1  
name: Russia Room 04                            id:262602  sid:3   server:203.117.124.12  gid:1000  game:WC3/TFT       ml:1  
name: South America Room 01                     id:262605  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: South America Room 02                     id:262606  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: South America Room 03                     id:262607  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Warcraft.Gieromaniak.pl League room       id:262608  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Royal Premier League Room                 id:262609  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:0  
name: LDHL Room                                 id:327524  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:5  
name: LDCL Room                                 id:327525  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:5  
name: Storm the Front DotA Room                 id:327589  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: USA DotA High Level Room 02               id:327593  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:5  
name: Left 4 Dead 2 Asian Tournament Room 1     id:327594  sid:1   server:203.117.124.14  gid:1036  game:Left 4 Dead 2 ml:1  
name: Malaysia Room 04 (L4D v9)                 id:327603  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: North American DotA High level Room 01    id:327604  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: DOTA 9tcw NetCom Room 02                  id:327606  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: DOTA 9tcw NetCom Room 01                  id:327607  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: India DotA Room 07                        id:327608  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: UAE RPG Room                              id:327609  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Belarus DotA Room 02 (1.26a)              id:327610  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Russia Room 02                            id:327620  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Thailand Room 04                          id:327621  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Venezuela Dota Torneos y Eventos          id:327624  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Romania RPG Tournaments Room              id:327627  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Naruto Wars Room 02                       id:327628  sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: Taiwan ESM Room 05                        id:327633  sid:6   server:203.117.124.16  gid:1029  game:Left 4 Dead   ml:1  
name: Malaysia Room 03 (L4D v5)                 id:327634  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Singapore Room 05                         id:327635  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: USA DotA Tournaments Room                 id:327639  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Bosnia and Herzegovina DotA Room 03       id:327641  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Bosnia and Herzegovina DotA Room 01 [Moderated] id:327644  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Room 04                        id:327645  sid:6   server:203.117.124.16  gid:1029  game:Left 4 Dead   ml:1  
name: GCA: Shiawase Internet Cafe               id:327647  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Cyberstar Room                            id:327648  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Denmark DotA Room 01                      id:327649  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Ukraine RPG Room 01 (1.26a)               id:327650  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:2  
name: Argentina Room 01                         id:327651  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: GCA: MFF Computer Shop                    id:327652  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Bosnia and Herzegovina DotA Room 02 [Moderated] id:327653  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:7  
name: Castle Fight room                         id:327656  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: ASEAN Room 03                             id:327665  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Iran DotA Room 05                         id:327666  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Turkey Room 01                            id:327667  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: United Kingdom DotA Room 01               id:327669  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: EAL Tournament Room                       id:327672  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Brazil Room 01                            id:327673  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:2  
name: Singapore Legends of DotA Room            id:327675  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Room 03                        id:327677  sid:6   server:203.117.124.16  gid:1029  game:Left 4 Dead   ml:1  
name: Brazil Room                               id:327678  sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Bosnia and Herzegovina DotA Tournament Room id:327679  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 25 (v1.24e)            id:327719  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 24 (v1.24e)            id:327720  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 23 (v1.24e)            id:327721  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 22 (v1.24e)            id:327722  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 21 (v1.24e)            id:327723  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 20 (v1.24e)            id:327724  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 19 (v1.24e)            id:327725  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 18 (v1.24e)            id:327726  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 17 (v1.24e)            id:327727  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 16 (v1.24e)            id:327728  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Malaysia DotA ROOM 09 (v1.24e) [Moderated] id:327729  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:8  
name: Malaysia DotA ROOM 08 (v1.24e) [Moderated] id:327730  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Malaysia DotA ROOM 07 (v1.24e) [Moderated] id:327731  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Malaysia DotA ROOM 06 (v1.24e) [Moderated] id:327732  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Malaysia DotA ROOM 05 (v1.24e) [Moderated] id:327733  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:15 
name: Malaysia DotA ROOM 04 (v1.24e)            id:327734  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 03 (v1.24e)            id:327735  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 02 (v1.24e)            id:327736  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA ROOM 01 (v1.24e)            id:327737  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia DotA Clan War Room (v1.24e)      id:327742  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Kingsurf Room                             id:327743  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: DotA Room 03 (MyGarena.com)               id:327744  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Fufu United Ninja ROOM 3 (v1.24e) id:327747  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Fufu United Ninja ROOM 2 (v1.24e) id:327748  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: War 3 Custom Map : Fufu United Ninja ROOM 1 (v1.24e) id:327749  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Malaysia Events Room                      id:327754  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 06                  id:393217  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  130 (new version)        id:393218  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  129 (new version)        id:393219  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  128 (new version)        id:393220  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  127 (new version)        id:393221  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  126 (new version)        id:393222  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  125 (new version)        id:393223  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  124 (new version)        id:393224  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  123 (new version)        id:393225  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  122 (new version)        id:393226  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  121 (new version)        id:393227  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  120 (new version)        id:393228  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  119 (new version)        id:393229  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  118 (new version)        id:393230  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  117 (new version)        id:393231  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  116 (new version)        id:393232  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  115 (new version)        id:393233  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  114 (new version)        id:393234  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  113 (new version)        id:393235  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  112 (new version)        id:393236  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:15 
name: Taiwan ESM Nobu  111 (new version)        id:393237  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:15 
name: Taiwan ESM Nobu  108 (new version)        id:393240  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:20 
name: Taiwan ESM Nobu  107 (new version)        id:393241  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:20 
name: Taiwan ESM Nobu  106 (new version)        id:393242  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:20 
name: Taiwan ESM Nobu  105 (new version)        id:393243  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:20 
name: Taiwan ESM Nobu  104 (new version)        id:393244  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:23 
name: Taiwan ESM Nobu  103 (new version)        id:393245  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:23 
name: Taiwan ESM Nobu  102 (new version)        id:393246  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:23 
name: Taiwan ESM Nobu  101 (new version)        id:393247  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:23 
name: Taiwan ESM Nobu  100 (new version)        id:393248  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:8  
name: Taiwan ESM Nobu OverSea Player Room       id:393250  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:2  
name: Taiwan ESM Nobu -high room 08             id:393251  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Taiwan ESM Nobu -high room 07             id:393252  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Taiwan ESM Nobu -high room 06             id:393253  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:5  
name: Taiwan ESM Nobu -high room 05             id:393254  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu -high room 04             id:393255  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu -high room 03             id:393256  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:15 
name: Taiwan ESM Nobu -high room 02             id:393257  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:15 
name: Taiwan ESM Nobu -high room 01             id:393258  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:18 
name: Taiwan ESM Nobu  702 for Bahamut          id:393259  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Nobu  701 for PTT              id:393260  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM Nobu  700 for ESM              id:393261  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 05                  id:393277  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 04                  id:393278  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 03                  id:393279  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 02                  id:393280  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 4.x 01                  id:393281  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:10 
name: Taiwan ESM SanGuo 7.x 23 -AR              id:393296  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 7.x 22 -AR              id:393297  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM SanGuo 7.x 21 -AR              id:393298  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
